Invoice_ID,Date,Company_Name,Company_Address,City,State,Product,Quantity,Unit_Price_INR,Sales_Value_INR,discount_pct,year,month,day,weekday,weekend,quarter,sales_per_quantity,price_category,season,sentiment_score
FLP100001,2021-04-18,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Mathura,Assam,shoes,9.0,11727.0,105543.0,25.0,2021,4,18,6,1,2,11727.0,High,Q2,0.85
FLP100002,2022-06-30,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ahmednagar,Uttarakhand,shoes,4.0,5300.0,21200.0,12.0,2022,6,30,3,0,2,5300.0,High,Q2,0.06904761904761905
FLP100003,2024-01-04,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Guntakal,Jharkhand,refrigerator,18.0,43841.0,789138.0,15.0,2024,1,4,3,0,1,43841.0,High,Q1,0.85
FLP100004,2025-10-12,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ajmer,Sikkim,headphones,2.0,21227.0,42454.0,25.0,2025,10,12,6,1,4,21227.0,High,Q4,0.06904761904761905
FLP100005,2022-11-22,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bhalswa Jahangir Pur,Bihar,smart watch,18.0,44051.0,792918.0,10.0,2022,11,22,1,0,4,44051.0,High,Q4,0.638095238095238
FLP100006,2021-12-02,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Maheshtala,Andhra Pradesh,laptop,1.0,57483.0,57483.0,15.0,2021,12,2,3,0,4,57483.0,High,Q4,0.06904761904761905
FLP100007,2025-12-05,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ambala,Chhattisgarh,laptop,20.0,49792.0,995840.0,15.0,2025,12,5,4,0,4,49792.0,High,Q4,0.85
FLP100008,2021-01-14,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Kanpur,Sikkim,laptop,11.0,59062.0,649682.0,25.0,2021,1,14,3,0,1,59062.0,High,Q1,0.5666666666666667
FLP100009,2021-03-31,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Satna,Tamil Nadu,headphones,3.0,18935.0,56805.0,5.0,2021,3,31,2,0,1,18935.0,High,Q1,0.06904761904761905
FLP100010,2025-06-07,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Gandhinagar,Mizoram,tv,30.0,3083.0,92490.0,10.0,2025,6,7,5,1,2,3083.0,Medium,Q2,0.85
