Invoice_ID,Date,Company_Name,Company_Address,City,State,Product,Quantity,Unit_Price_INR,Sales_Value_INR
FLP100001,2021-04-18,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Mathura,Assam,Shoes,9,11727,105543
FLP100002,2022-06-30,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ahmednagar,Uttarakhand,Shoes,4,5300,21200
FLP100003,2024-01-04,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Guntakal,Jharkhand,Refrigerator,18,43841,789138
FLP100004,2025-10-12,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ajmer,Sikkim,Headphones,2,21227,42454
FLP100005,2022-11-22,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bhalswa Jahangir Pur,Bihar,Smart Watch,18,44051,792918
FLP100006,2021-12-02,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Maheshtala,Andhra Pradesh,Laptop,1,57483,57483
FLP100007,2025-12-05,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ambala,Chhattisgarh,Laptop,20,49792,995840
FLP100008,2021-01-14,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Kanpur,Sikkim,Laptop,11,59062,649682
FLP100009,2021-03-31,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Satna,Tamil Nadu,Headphones,3,18935,56805
FLP100010,2025-06-07,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Gandhinagar,Mizoram,TV,30,3083,92490
FLP100011,2023-06-01,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Kalyan-Dombivli,Assam,TV,19,62811,1193409
FLP100012,2023-08-20,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Faridabad,Himachal Pradesh,TV,27,5116,138132
FLP100013,2022-12-05,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Parbhani,Odisha,Smart Watch,17,63602,1081234
FLP100014,2025-08-09,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Dharmavaram,Uttar Pradesh,Tablet,20,69384,1387680
FLP100015,2025-07-16,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Gwalior,Manipur,Shoes,11,1944,21384
FLP100016,2025-04-25,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Coimbatore,Maharashtra,Shoes,21,67507,1417647
FLP100017,2024-11-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Haldia,Gujarat,Books,18,78485,1412730
FLP100018,2023-12-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Jodhpur,Gujarat,Refrigerator,22,55284,1216248
FLP100019,2023-11-11,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Giridih,Himachal Pradesh,Laptop,2,24084,48168
FLP100020,2023-09-25,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Saharsa,Bihar,Headphones,22,34626,761772
FLP100021,2022-11-17,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Kavali,Rajasthan,Shoes,11,72940,802340
FLP100022,2025-12-16,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ranchi,West Bengal,Shoes,3,60169,180507
FLP100023,2024-03-19,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Kolhapur,Telangana,Smartphone,25,44354,1108850
FLP100024,2022-01-23,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bhopal,Gujarat,Refrigerator,19,11854,225226
FLP100025,2021-01-27,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Singrauli,Uttarakhand,Smart Watch,29,46426,1346354
FLP100026,2023-04-11,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Bhind,Rajasthan,Smartphone,18,65968,1187424
FLP100027,2024-08-01,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Udaipur,Haryana,Smart Watch,10,65151,651510
FLP100028,2024-01-20,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Ratlam,Karnataka,Headphones,16,23577,377232
FLP100029,2024-01-04,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Lucknow,West Bengal,Books,15,49922,748830
FLP100030,2021-04-01,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Dibrugarh,Bihar,Books,1,17959,17959
FLP100031,2022-01-31,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Navi Mumbai,Jharkhand,Refrigerator,1,33901,33901
FLP100032,2024-11-03,Flipkart India Pvt Ltd,"Buildings Alyssa, Begonia & Clover, Embassy Tech Village, Bengaluru, Karnataka, India",Gulbarga,Bihar,Shoes,9,57220,514980
